name,width_depleted,orientation,critical_depth,width_max,offset,tilt,gain,critical_depth_min,critical_depth_max,width_max_min,width_max_max,width_depleted_preferred
2014b-80,0.75,-1,0.250,8.00,-0.600,-0.0300,10.055,0.250,0.250,5.50,10.00,0.75
2014b-81,0.75,1,0.950,9.00,0.450,0.0000,16.977,0.400,1.000,7.50,10.00,2.00
2014b-82,0.75,1,0.450,5.50,0.150,0.0000,13.803,0.400,0.450,5.50,6.50,2.00
2014b-83,0.75,1,0.900,3.50,0.100,0.0300,18.541,0.100,0.900,3.50,6.00,2.25
2014b-84,0.75,-1,0.400,4.50,0.250,-0.0300,32.267,0.400,0.400,4.50,4.50,0.75
2014b-85,0.75,-1,0.450,4.00,-0.100,-0.0300,26.145,0.450,0.600,4.00,4.00,0.50
2014b-86,0.75,-1,0.650,4.00,0.000,0.0000,14.161,0.550,1.000,3.50,5.50,3.00
2014b-87,0.75,-1,1.000,0.50,0.550,0.0300,12.203,0.000,1.000,0.00,10.00,0.75
2014b-88,0.75,-1,0.500,2.00,0.200,-0.0300,12.785,0.450,0.650,1.00,2.50,0.00
2014b-89,0.75,1,0.350,5.50,0.050,0.0000,42.936,0.300,0.350,5.50,6.50,0.25
2014b-90,0.75,1,0.100,3.00,0.150,-0.0150,17.502,0.100,0.100,3.00,3.00,0.75
2014b-91,0.75,1,0.400,10.00,0.600,0.0300,13.121,0.400,0.450,6.00,10.00,0.00
2014b-92,0.75,1,0.450,3.50,-0.050,0.0000,26.975,0.250,0.500,3.00,7.50,0.25
2014b-93,0.75,1,0.300,6.00,0.200,0.0300,46.569,0.300,0.450,3.50,6.00,1.00
2014b-94,0.75,1,0.350,6.00,0.050,-0.0300,21.844,0.300,0.450,5.50,7.00,0.50
2014b-95,0.75,1,0.650,1.00,-0.150,-0.0300,5.607,0.400,1.000,0.00,2.00,1.00
2014b-96,0.75,1,0.350,8.00,-0.100,-0.0150,9.061,0.350,0.350,6.00,8.00,0.00
2014b-97,0.75,-1,0.550,4.50,-0.200,-0.0300,24.550,0.550,0.550,4.50,4.50,1.25
2014b-98,0.75,-1,0.850,2.50,-0.600,0.0300,7.376,0.850,0.850,2.50,2.50,0.00
2014b-99,0.75,1,0.600,3.50,0.150,0.0300,11.853,0.600,0.600,3.00,3.50,0.50
2014b-100,0.75,1,1.000,1.50,0.200,-0.0150,9.570,0.450,1.000,0.00,1.50,1.50
2014b-101,0.75,-1,0.400,6.00,-0.050,-0.0150,18.359,0.400,0.400,6.00,6.00,0.75
2014b-102,0.75,1,0.150,1.00,-0.400,0.0300,8.637,0.100,0.200,0.00,1.50,0.50
2014b-103,0.75,1,0.150,8.50,-0.200,0.0000,10.404,0.150,0.250,4.50,8.50,1.25
2014b-104,0.75,-1,0.600,5.50,-0.100,0.0000,24.157,0.500,0.600,5.50,6.00,0.00
2014b-105,0.75,1,0.500,6.00,0.150,-0.0300,12.404,0.450,0.550,5.00,7.00,0.50
2014b-106,0.75,1,0.550,3.00,0.450,-0.0150,15.982,0.550,0.750,2.50,3.00,1.00
2014b-107,0.75,-1,0.400,3.00,-0.450,-0.0300,2.005,0.100,0.500,2.00,10.00,0.00
2014b-108,0.75,-1,0.050,3.50,0.050,0.0150,13.230,0.050,0.400,1.50,4.00,0.00
2014b-109,0.75,1,0.450,4.00,-0.050,-0.0150,30.289,0.450,0.450,4.00,4.00,1.25
2014b-110,0.75,1,0.650,1.00,-0.100,-0.0300,-9.648,0.650,1.000,0.50,1.00,0.00
2014b-111,0.75,-1,0.650,4.50,0.050,0.0300,44.772,0.650,0.650,4.50,4.50,0.50
2014b-112,0.75,1,0.000,0.00,0.250,0.0300,9.505,0.000,0.100,0.00,10.00,0.25
2014b-113,0.75,1,0.150,5.50,0.400,-0.0300,4.569,0.150,1.000,0.50,6.00,2.00
2014b-114,0.75,1,0.350,5.50,0.550,-0.0150,16.276,0.350,0.800,4.50,5.50,1.25
2014b-115,0.75,1,0.700,2.00,-0.200,0.0000,15.533,0.700,0.750,2.00,2.00,0.25
2014b-116,0.75,-1,0.550,4.50,0.050,0.0150,23.574,0.500,0.550,4.50,4.50,0.75
2014b-117,0.75,1,0.600,1.50,0.050,-0.0150,15.759,0.500,0.650,1.50,1.50,0.25
2014b-118,0.75,1,0.400,5.00,-0.500,-0.0300,15.977,0.400,0.450,4.00,6.00,0.00
2014b-119,0.75,-1,0.200,10.00,-0.200,0.0300,16.959,0.200,0.300,5.00,10.00,2.25
2014b-120,0.75,1,0.200,5.50,-0.600,0.0300,15.670,0.150,0.200,5.00,9.00,0.25
2014b-121,0.75,-1,0.350,5.00,0.150,0.0150,18.965,0.350,0.400,4.00,5.50,1.25
2014b-122,0.75,-1,0.400,3.00,0.100,0.0300,-6.006,0.000,0.400,0.00,10.00,0.25
2014b-123,0.75,-1,0.400,4.50,0.000,0.0000,37.587,0.350,0.500,4.00,5.00,0.00
2014b-124,0.75,1,0.700,5.00,0.050,-0.0300,24.911,0.700,0.850,4.00,5.00,0.75
2014b-125,0.75,1,0.350,5.50,0.000,0.0000,30.147,0.300,0.450,5.00,6.50,0.50
2014b-126,0.75,-1,0.400,5.00,0.050,0.0300,2.963,0.000,0.400,0.00,10.00,1.75
2014b-127,0.75,-1,0.300,4.00,-0.150,-0.0150,53.374,0.300,0.300,4.00,4.00,1.25
2014b-128,0.75,1,0.500,1.50,-0.300,0.0150,8.765,0.250,0.550,0.50,1.50,0.50
2014b-129,0.75,1,0.150,10.00,0.600,-0.0300,6.512,0.150,0.150,9.50,10.00,0.00
2014b-130,0.75,-1,0.400,6.50,0.450,0.0000,27.247,0.400,0.400,6.00,6.50,2.00
2014b-131,0.75,1,0.150,2.00,0.350,-0.0300,22.876,0.150,0.150,1.50,7.50,0.50
2014b-132,0.75,-1,0.400,4.00,0.000,0.0150,29.725,0.400,0.450,3.50,4.00,0.50
2014b-133,0.75,1,0.650,2.00,-0.050,0.0000,-0.123,0.050,0.850,1.50,4.00,0.00
2014b-134,0.75,1,0.700,0.00,0.050,0.0150,6.277,0.050,1.000,0.00,9.00,0.75
2014b-135,0.75,-1,1.000,1.50,-0.050,-0.0150,0.337,0.050,1.000,0.00,4.00,0.00
2014b-136,0.75,-1,0.900,3.50,0.100,0.0000,16.370,0.150,1.000,2.00,3.50,1.75
2014b-137,0.75,1,0.150,3.50,-0.200,-0.0150,12.676,0.150,0.150,3.00,4.00,0.50
2014b-138,0.75,1,0.450,6.50,0.100,-0.0300,41.244,0.450,0.500,5.50,6.50,1.00
2014b-139,0.75,1,0.950,1.00,0.200,0.0150,15.254,0.700,1.000,1.00,2.50,2.00
2014b-140,0.75,1,1.000,5.50,0.200,0.0150,14.340,0.800,1.000,3.50,8.00,2.75
2014b-141,0.75,1,0.450,3.50,-0.150,-0.0300,25.903,0.450,0.600,2.50,3.50,0.75
2014b-142,0.75,1,0.500,2.50,0.450,-0.0150,26.357,0.450,0.550,2.50,2.50,0.50
2014b-143,0.75,1,0.450,6.50,0.000,0.0000,63.534,0.450,0.450,6.50,6.50,1.75
2014b-144,0.75,-1,0.850,2.00,-0.600,0.0300,22.223,0.600,0.850,2.00,4.50,2.25
2014b-145,0.75,1,0.600,4.50,-0.050,-0.0300,30.549,0.600,0.800,4.50,5.00,1.25
2014b-146,0.75,-1,0.800,0.00,-0.250,0.0300,1.540,0.000,0.800,0.00,10.00,0.50
2014b-147,0.75,-1,0.400,4.50,0.500,0.0300,21.105,0.300,0.400,4.50,5.00,0.25
2014b-148,0.75,1,0.650,3.00,0.200,0.0300,3.866,0.350,0.800,1.50,3.50,0.00
2014b-149,0.75,-1,0.450,2.00,-0.250,0.0000,6.121,0.400,0.500,0.00,2.00,0.50
2014b-150,0.75,1,0.700,4.00,-0.150,0.0000,19.945,0.700,0.700,4.00,4.00,0.75
2014b-151,0.75,-1,0.650,5.50,-0.100,0.0300,46.339,0.650,0.650,5.50,5.50,1.50
2014b-152,0.75,-1,0.150,9.00,-0.300,0.0300,21.476,0.150,0.200,5.00,10.00,0.75
2014b-153,0.75,1,0.400,9.00,-0.050,0.0300,-5.567,0.250,0.450,6.50,9.50,0.25
2014b-154,0.75,1,0.450,4.50,-0.050,-0.0150,41.031,0.400,0.450,3.50,4.50,0.25
2014b-155,0.75,1,0.750,4.50,0.200,0.0150,44.397,0.750,0.750,4.50,4.50,1.25
2014b-156,0.75,1,0.350,5.50,0.100,0.0150,63.208,0.350,0.350,5.50,5.50,0.00
2014b-157,0.75,-1,0.300,6.00,-0.600,-0.0300,2.678,0.200,0.350,0.00,10.00,0.50
2014b-158,0.75,-1,0.400,5.50,-0.250,0.0300,23.473,0.350,0.400,5.50,6.00,0.50
2014b-159,0.75,-1,0.350,7.00,0.600,-0.0300,23.831,0.350,0.450,6.50,7.00,1.75
2014b-160,0.75,1,0.650,7.50,-0.200,0.0150,11.037,0.650,0.650,7.50,8.00,0.00
2014b-161,0.75,1,0.650,8.50,-0.100,0.0150,24.389,0.650,0.650,8.50,9.50,1.00
2014b-162,0.75,-1,0.600,4.50,-0.450,0.0300,39.168,0.550,1.000,4.00,4.50,3.00
2014b-163,0.75,-1,0.250,4.00,-0.050,0.0300,28.019,0.250,0.250,4.00,4.00,1.50
2014b-164,0.75,1,0.550,2.00,0.000,0.0300,16.728,0.400,0.550,2.00,3.00,0.00
2014b-165,0.75,1,0.300,4.00,-0.200,0.0300,5.343,0.300,0.850,1.00,4.00,1.25
2014b-166,0.75,-1,0.300,5.00,0.450,-0.0300,49.058,0.300,0.300,5.00,5.00,0.75
2014b-167,0.75,-1,0.150,3.50,-0.250,-0.0300,2.034,0.100,0.150,2.00,7.00,0.25
2014b-168,0.75,-1,0.250,1.50,-0.300,0.0000,-6.999,0.000,0.500,0.00,10.00,0.25
2014b-169,0.75,1,1.000,2.50,0.150,-0.0150,29.636,0.800,1.000,1.00,4.00,1.75
2014b-170,0.75,-1,0.450,5.00,0.000,0.0000,46.163,0.400,0.450,5.00,5.50,1.25
2014b-171,0.75,-1,0.350,4.00,-0.050,0.0000,72.449,0.300,0.350,4.00,5.50,0.75
2014b-172,0.75,1,0.250,2.50,0.250,0.0150,27.557,0.250,0.350,2.00,4.50,1.75
2014b-173,0.75,1,0.850,2.50,-0.100,0.0300,27.437,0.450,0.850,1.00,3.00,1.25
2014b-174,0.75,1,0.200,5.00,-0.050,0.0000,18.722,0.200,0.200,5.00,5.00,0.75
2014b-175,0.75,1,0.150,7.00,-0.200,0.0150,2.204,0.100,0.200,4.50,10.00,0.00
2014b-176,0.75,-1,0.350,4.50,0.450,0.0000,34.676,0.300,0.350,4.00,5.00,1.00
2014b-177,0.75,-1,0.400,5.50,0.150,0.0000,15.874,0.400,0.400,5.00,6.00,0.25
2014b-178,0.75,1,0.400,3.50,-0.200,-0.0150,33.003,0.400,0.400,3.50,5.50,1.00
2014b-179,0.75,1,1.000,3.00,0.250,0.0300,27.187,0.750,1.000,3.00,3.50,1.50
2014b-180,0.75,-1,0.250,4.50,-0.350,-0.0150,42.489,0.250,0.300,4.50,4.50,0.75
2014b-181,0.75,-1,0.400,4.50,0.050,-0.0300,22.564,0.300,0.400,4.00,5.00,0.00
2014b-182,0.75,-1,0.400,4.50,-0.150,0.0300,17.372,0.350,0.450,4.50,4.50,0.00
2014b-183,0.75,-1,0.350,6.50,0.050,-0.0150,16.653,0.300,0.350,6.50,8.50,0.50
2014b-184,0.75,1,0.350,4.00,-0.050,-0.0150,46.302,0.350,0.400,4.00,4.00,1.75
2014b-185,0.75,1,0.200,3.00,-0.100,-0.0300,24.929,0.200,0.200,2.50,4.00,1.00
2014b-186,0.75,-1,0.400,6.00,-0.100,0.0300,22.523,0.350,0.500,4.00,6.50,0.25
2014b-187,0.75,1,0.550,3.50,-0.050,0.0300,17.711,0.550,0.550,3.00,4.50,0.25
2014b-188,0.75,-1,0.450,3.50,-0.050,0.0150,42.589,0.400,0.450,3.50,4.00,1.50
2014b-189,0.75,1,0.050,8.00,-0.600,-0.0150,16.681,0.050,0.050,6.50,10.00,0.75
2014b-190,0.75,1,0.400,3.00,-0.100,0.0150,17.771,0.400,0.450,3.00,3.00,0.75
2014b-191,0.75,-1,0.450,5.00,-0.150,0.0000,25.431,0.450,0.550,4.00,5.00,0.75
2014b-192,0.75,1,0.300,7.50,0.000,-0.0150,31.371,0.300,0.500,4.00,8.00,1.00
2014b-193,0.75,1,0.400,5.00,0.300,-0.0150,29.532,0.400,0.400,5.00,7.50,0.25
2014b-194,0.75,1,0.300,5.00,0.050,0.0150,34.776,0.300,0.300,5.00,5.00,1.00
2014b-195,0.75,1,0.550,2.50,0.350,0.0150,35.880,0.450,0.550,2.50,3.00,0.75
2014b-196,0.75,-1,0.900,3.50,-0.050,0.0300,28.353,0.300,0.900,3.50,5.00,0.50
2014b-197,0.75,-1,0.150,4.50,0.150,0.0300,17.598,0.150,0.150,4.00,4.50,0.75
2014b-198,0.75,-1,0.500,4.50,0.050,0.0000,58.777,0.400,0.500,4.50,5.00,1.75
2014b-199,0.75,-1,0.400,6.50,-0.050,0.0000,20.806,0.400,0.400,6.50,7.00,0.50
2014b-200,0.75,-1,0.350,5.50,0.100,-0.0300,24.017,0.300,0.400,4.50,5.50,0.50
2014b-201,0.75,1,0.400,5.00,0.300,0.0000,21.497,0.400,0.400,5.00,5.00,1.00
2014b-202,0.75,1,0.500,3.50,-0.050,-0.0150,35.218,0.400,0.550,3.50,4.00,0.50
2014b-203,0.75,1,0.400,4.50,0.000,0.0000,39.273,0.350,0.400,4.50,5.00,0.50
2014b-204,0.75,1,0.500,4.50,0.100,0.0150,30.936,0.500,0.500,4.50,4.50,0.75
2014b-205,0.75,-1,0.250,6.00,0.150,-0.0300,29.012,0.250,0.250,5.50,6.00,1.00
2014b-206,0.75,-1,0.400,5.50,0.100,0.0150,20.164,0.400,0.800,0.00,9.00,0.25
2014b-207,0.75,-1,1.000,5.00,-0.050,0.0000,161.024,1.000,1.000,5.00,5.00,3.00
2014b-208,0.75,1,0.400,4.00,0.050,0.0150,37.417,0.400,0.400,4.00,4.00,0.75
2014b-209,0.75,-1,0.400,5.00,0.050,-0.0300,13.167,0.400,0.450,5.00,5.50,0.00
2014b-210,0.75,1,0.450,4.50,-0.050,0.0000,56.085,0.450,0.450,4.00,4.50,1.00
2014b-211,0.75,-1,0.400,4.50,0.150,0.0150,40.700,0.350,0.400,4.50,5.50,0.25
2014b-212,0.75,1,0.350,3.50,0.000,0.0150,24.920,0.250,0.350,3.50,4.50,0.00
2014b-213,0.75,1,0.400,4.50,0.000,0.0000,28.383,0.300,0.400,4.50,5.00,1.25
2014b-214,0.75,-1,0.350,5.00,0.000,0.0000,47.719,0.350,0.350,5.00,5.50,1.00
2014b-215,0.75,-1,0.350,4.50,0.000,0.0150,23.467,0.300,0.400,4.00,5.00,0.50
2014b-216,0.75,1,0.400,5.50,0.100,0.0150,29.587,0.400,0.400,5.50,6.00,1.00
2014b-217,0.75,-1,0.600,3.50,-0.050,-0.0150,22.696,0.600,0.600,3.50,3.50,0.75
2014b-218,0.75,1,0.850,1.50,0.350,0.0300,5.626,0.750,1.000,1.50,1.50,1.50
2014b-219,0.75,-1,0.400,5.50,0.000,0.0000,49.329,0.400,0.450,4.50,5.50,0.75
2014b-220,0.75,1,0.400,2.00,0.350,-0.0150,29.751,0.400,0.400,1.50,2.00,0.25
2014b-221,0.75,1,0.400,5.00,-0.200,0.0000,31.968,0.350,0.400,4.50,5.50,0.50
2014b-222,0.75,1,0.000,0.00,0.000,-0.0300,-2.470,0.000,0.800,0.00,10.00,0.00
2014b-223,0.75,1,0.100,3.50,0.000,-0.0300,16.476,0.100,0.100,2.50,4.00,0.75
2014b-224,0.75,1,0.750,4.50,0.100,-0.0150,38.186,0.750,0.750,4.50,4.50,0.75
2014b-225,0.75,1,0.300,1.00,-0.100,-0.0300,1.650,0.000,0.600,0.00,10.00,0.00
2014b-226,0.75,1,0.350,5.50,0.050,0.0150,35.181,0.300,0.400,5.00,6.50,1.25
2014b-227,0.75,1,0.400,5.00,0.000,0.0000,27.290,0.400,0.400,5.00,5.50,0.50
2014b-228,0.75,1,0.350,4.00,0.000,-0.0150,21.654,0.350,0.350,4.00,4.50,1.00
2014b-229,0.75,1,0.350,3.50,0.250,-0.0300,21.232,0.300,0.350,3.00,3.50,0.25
2014b-230,0.75,1,0.250,6.50,0.000,-0.0150,34.267,0.250,0.350,5.50,6.50,0.50
2014b-231,0.75,-1,0.600,4.50,-0.150,0.0300,29.503,0.550,0.800,4.00,4.50,0.00
2014b-232,0.75,1,0.400,7.50,-0.200,-0.0300,14.648,0.400,0.450,7.00,8.00,1.00
2014b-233,0.75,-1,0.400,3.50,0.000,-0.0150,51.440,0.400,0.400,3.50,3.50,0.25
2014b-234,0.75,-1,0.350,6.50,-0.050,-0.0150,29.595,0.350,0.350,6.50,6.50,0.25
2014b-235,0.75,1,0.550,3.50,-0.050,-0.0150,61.298,0.500,0.550,3.50,4.50,1.50
2014b-236,0.75,-1,0.400,5.00,0.000,0.0000,54.687,0.350,0.400,5.00,5.50,1.25
2014b-237,0.75,1,0.400,4.50,0.050,-0.0150,31.637,0.350,0.400,4.50,5.00,0.25
2014b-238,0.75,1,0.300,6.50,-0.050,0.0000,32.134,0.300,0.450,5.00,7.00,1.00
2014b-239,0.75,-1,0.350,5.00,0.000,0.0000,28.616,0.350,0.350,5.00,5.00,0.50
2014b-240,0.75,1,0.550,4.50,0.000,0.0000,36.701,0.500,0.600,4.50,4.50,2.50
2014b-241,0.75,-1,0.100,3.00,0.200,-0.0150,5.524,0.000,0.600,0.00,10.00,0.50
2014b-242,0.75,1,0.450,5.50,0.050,0.0000,66.532,0.400,0.450,5.50,5.50,0.50
2014b-243,0.75,1,0.150,7.00,0.000,0.0150,5.399,0.100,0.350,3.50,7.50,0.00
2014b-244,0.75,-1,0.550,0.50,0.100,0.0150,6.175,0.050,1.000,0.00,1.50,1.00
2014b-245,0.75,-1,0.100,4.50,0.400,0.0300,12.613,0.050,0.200,4.00,8.50,1.00
2014b-246,0.75,1,0.700,7.50,-0.050,0.0150,39.013,0.700,0.700,7.50,8.00,1.25
2014b-247,0.75,-1,0.050,9.50,-0.050,-0.0150,0.055,0.000,1.000,0.00,10.00,0.00
2014b-248,0.75,-1,0.400,5.00,0.150,-0.0150,46.324,0.400,0.450,5.00,5.00,1.50
2014b-249,0.75,-1,0.400,3.50,-0.300,0.0150,6.058,0.350,0.650,3.00,5.00,0.00
2014b-250,0.75,1,0.050,3.50,-0.050,-0.0150,-4.093,0.050,0.450,1.00,10.00,0.25
2014b-251,0.75,1,0.550,5.00,0.150,-0.0300,11.540,0.150,0.550,4.00,6.50,0.00
2014b-252,0.75,-1,0.150,6.50,0.050,0.0150,22.625,0.150,0.150,6.50,6.50,0.75
2014b-253,0.75,1,0.350,6.50,-0.350,-0.0300,9.738,0.200,0.350,4.50,7.50,0.25
2014b-254,0.75,-1,0.200,0.00,0.250,0.0150,7.541,0.000,0.400,0.00,10.00,0.25
2014b-255,0.75,1,0.500,8.00,0.000,-0.0300,24.320,0.250,0.500,6.00,9.50,0.00
